,logFC,AveExpr,t,P.Value,adj.P.Val,B
C2,-0.940897480049216,6.20336373080608,-11.1183673727189,2.49438696460944e-25,2.17662375563963e-23,46.7497604752661
RNASE6,-1.12323469238554,8.1372363189607,-11.1009696869196,2.89908312870372e-25,2.5115653982626e-23,46.6014689239461
CYBA,-0.929379314255755,8.38018136262053,-11.0927823705777,3.11150521264235e-25,2.67633898361709e-23,46.5317266263595
NNMT,-1.9645331802801,8.8453663144651,-11.0692233209908,3.81304040446539e-25,3.25649876245193e-23,46.3311981724856
SERPINB9,-0.486668460360147,5.33366820389733,-11.0643589696522,3.97640782520031e-25,3.3721058472579e-23,46.2898228739705
COL5A1,-1.30832247992206,6.13014928626732,-11.0604156267071,4.11393721809898e-25,3.46433790072363e-23,46.2562887506845
THBS1,-0.964369319100575,5.42644364694048,-11.0501937862451,4.49285741389726e-25,3.75715201237158e-23,46.1693926155778
PSCD4,-0.28044913950237,4.90501415368253,-10.9542314114224,1.02525482646964e-24,8.51456456575684e-23,45.3557536043703
TCIRG1,-0.729651527467253,6.40246251664995,-10.9504328474396,1.05920648265607e-24,8.73627703023592e-23,45.3236266443262
SAMSN1,-1.13874247008353,7.68535847943213,-10.9476169914643,1.08509400912026e-24,8.88891296450756e-23,45.299815048849
CD93,-1.0364360029342,7.39060996019413,-10.9453025354998,1.10684221473738e-24,9.00580672288346e-23,45.2802459421732
DCN,-1.3245791367695,8.56884018117341,-10.939677972398,1.16151771043699e-24,9.38724581817596e-23,45.2326988259238
HLA-DPB1,-1.26057410154835,9.65795971401431,-10.9249775512028,1.31743074793583e-24,1.05763340444289e-22,45.1084927372968
SQRDL,-0.977590227563315,8.18849593673367,-10.9225564849105,1.34503336944746e-24,1.07264184336996e-22,45.0880456133208
C1QB,-1.32934578226156,10.2073654265303,-10.8337849011218,2.87194574932554e-24,2.2752612311433e-22,44.3400593630102
GPSM3,-0.41079925477429,5.62517914932861,-10.7840913017672,4.384868238722e-24,3.45114923730002e-22,43.922827954458
CREG1,-0.815552414355002,9.15350703020004,-10.7444127368549,6.1427964054782e-24,4.80334768277717e-22,43.5904560383196
ASPN,-1.35499114830634,5.80888695193449,-10.7279961255033,7.06081495489529e-24,5.48556991528058e-22,43.4531421612208
FTL,-0.33372439585659,10.667119927307,-10.7144031594204,7.92320589847238e-24,6.11610547624388e-22,43.3395358348002
FMNL1,-0.40254059810442,4.81248508522403,-10.6828205402304,1.03525030997144e-23,7.94043581699116e-22,43.0758914657142
